id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,quorum health,50,49,15,58,339,ship,baseline,monotonic-signal
g002,lease drift,91,33,33,48,361,ship,edge,drag-penalty
g003,replica lag,71,63,23,46,387,ship,recovery,confidence-floor
g004,membership churn,64,45,40,51,248,ship,negative,lane-boundary
g005,quorum health,108,74,29,101,637,ship,baseline,monotonic-signal
g006,lease drift,46,56,4,44,364,ship,edge,drag-penalty
g007,replica lag,106,49,14,20,492,ship,recovery,confidence-floor
g008,membership churn,96,13,42,56,312,ship,negative,lane-boundary
g009,quorum health,50,33,15,78,347,ship,baseline,monotonic-signal
g010,lease drift,75,10,45,94,283,ship,edge,drag-penalty
g011,replica lag,47,71,20,20,270,ship,recovery,confidence-floor
g012,membership churn,80,34,30,31,300,ship,negative,lane-boundary
g013,quorum health,56,18,34,41,172,watch,baseline,monotonic-signal
g014,lease drift,48,48,19,50,293,ship,edge,drag-penalty
g015,replica lag,47,65,13,102,457,ship,recovery,confidence-floor
g016,membership churn,50,41,32,90,302,ship,negative,lane-boundary
g017,quorum health,99,32,22,45,440,ship,baseline,monotonic-signal
g018,lease drift,83,30,40,70,332,ship,edge,drag-penalty
g019,replica lag,79,66,8,87,582,ship,recovery,confidence-floor
g020,membership churn,36,52,36,57,182,watch,negative,lane-boundary
g021,quorum health,62,47,30,47,286,ship,baseline,monotonic-signal
g022,lease drift,35,47,29,45,179,watch,edge,drag-penalty
g023,replica lag,69,50,9,50,431,ship,recovery,confidence-floor
g024,membership churn,45,54,42,100,278,ship,negative,lane-boundary
g025,quorum health,81,52,18,43,424,ship,baseline,monotonic-signal
g026,lease drift,102,25,8,105,628,ship,edge,drag-penalty
g027,replica lag,72,49,25,55,371,ship,recovery,confidence-floor
g028,membership churn,105,28,14,77,560,ship,negative,lane-boundary
g029,quorum health,37,20,31,93,219,ship,baseline,monotonic-signal
g030,lease drift,50,54,41,105,313,ship,edge,drag-penalty
g031,replica lag,60,38,27,30,241,ship,recovery,confidence-floor
g032,membership churn,91,68,42,40,370,ship,negative,lane-boundary
g033,quorum health,44,50,30,49,224,ship,baseline,monotonic-signal
g034,lease drift,112,9,5,101,643,ship,edge,drag-penalty
g035,replica lag,105,61,15,89,645,ship,recovery,confidence-floor
g036,membership churn,61,54,19,44,345,ship,negative,lane-boundary
g037,quorum health,87,18,4,69,502,ship,baseline,monotonic-signal
g038,lease drift,59,38,40,86,284,ship,edge,drag-penalty
g039,replica lag,49,15,17,56,253,ship,recovery,confidence-floor
g040,membership churn,91,76,7,46,573,ship,negative,lane-boundary
g041,quorum health,116,39,25,44,505,ship,baseline,monotonic-signal
g042,lease drift,88,23,35,49,321,ship,edge,drag-penalty
g043,replica lag,33,53,21,99,331,ship,recovery,confidence-floor
g044,membership churn,97,70,15,42,537,ship,negative,lane-boundary
g045,quorum health,89,46,14,104,586,ship,baseline,monotonic-signal
g046,lease drift,88,37,36,54,354,ship,edge,drag-penalty
g047,replica lag,91,35,27,76,451,ship,recovery,confidence-floor
g048,membership churn,52,71,45,92,309,ship,negative,lane-boundary
g049,quorum health,36,57,35,104,291,ship,baseline,monotonic-signal
g050,lease drift,32,52,10,29,240,ship,edge,drag-penalty
g051,replica lag,77,52,41,39,285,ship,recovery,confidence-floor
g052,membership churn,103,55,16,48,538,ship,negative,lane-boundary
g053,quorum health,76,59,26,100,492,ship,baseline,monotonic-signal
g054,lease drift,110,57,12,88,670,ship,edge,drag-penalty
g055,replica lag,86,30,27,43,355,ship,recovery,confidence-floor
g056,membership churn,34,54,15,68,305,ship,negative,lane-boundary
g057,quorum health,55,33,32,85,296,ship,baseline,monotonic-signal
g058,lease drift,113,25,42,55,402,ship,edge,drag-penalty
g059,replica lag,58,59,4,45,420,ship,recovery,confidence-floor
g060,membership churn,78,43,31,43,329,ship,negative,lane-boundary
g061,quorum health,91,73,25,48,481,ship,baseline,monotonic-signal
g062,lease drift,101,55,44,98,490,ship,edge,drag-penalty
g063,replica lag,44,14,34,41,116,hold,recovery,confidence-floor
g064,membership churn,85,66,10,103,628,ship,negative,lane-boundary
g065,quorum health,65,59,20,53,384,ship,baseline,monotonic-signal
g066,lease drift,58,23,6,75,398,ship,edge,drag-penalty
g067,replica lag,102,43,42,91,466,ship,recovery,confidence-floor
g068,membership churn,40,20,41,103,201,watch,negative,lane-boundary
g069,quorum health,100,11,21,28,373,ship,baseline,monotonic-signal
g070,lease drift,90,44,12,38,464,ship,edge,drag-penalty
g071,replica lag,44,28,30,47,176,watch,recovery,confidence-floor
g072,membership churn,69,58,20,99,490,ship,negative,lane-boundary
g073,quorum health,41,75,37,87,303,ship,baseline,monotonic-signal
g074,lease drift,74,51,26,42,352,ship,edge,drag-penalty
g075,replica lag,50,42,43,67,203,watch,recovery,confidence-floor
g076,membership churn,42,40,11,84,361,ship,negative,lane-boundary
g077,quorum health,41,76,39,54,229,ship,baseline,monotonic-signal
g078,lease drift,44,62,12,44,328,ship,edge,drag-penalty
g079,replica lag,93,57,42,42,360,ship,recovery,confidence-floor
g080,membership churn,77,57,17,47,431,ship,negative,lane-boundary
g081,quorum health,73,60,27,97,471,ship,baseline,monotonic-signal
g082,lease drift,30,64,31,40,173,watch,edge,drag-penalty
g083,replica lag,56,62,16,102,472,ship,recovery,confidence-floor
g084,membership churn,117,35,10,52,592,ship,negative,lane-boundary
g085,quorum health,63,59,29,74,373,ship,baseline,monotonic-signal
g086,lease drift,39,38,19,90,317,ship,edge,drag-penalty
g087,replica lag,75,30,37,102,379,ship,recovery,confidence-floor
g088,membership churn,96,64,5,27,541,ship,negative,lane-boundary
g089,quorum health,66,48,33,37,269,ship,baseline,monotonic-signal
g090,lease drift,99,8,27,46,369,ship,edge,drag-penalty
g091,replica lag,31,60,26,98,310,ship,recovery,confidence-floor
g092,membership churn,44,19,6,86,356,ship,negative,lane-boundary
g093,quorum health,54,71,39,41,245,ship,baseline,monotonic-signal
g094,lease drift,85,64,15,66,525,ship,edge,drag-penalty
g095,replica lag,38,28,5,83,349,ship,recovery,confidence-floor
g096,membership churn,106,48,22,53,516,ship,negative,lane-boundary
